,Player,PlayerURL
7,Harry Maguire,https://fbref.com/en/players/d8931174/Harry-Maguire
8,Declan Rice,https://fbref.com/en/players/1c7012b8/Declan-Rice
11,Jordan Pickford,https://fbref.com/en/players/4806ec67/Jordan-Pickford
12,Luke Shaw,https://fbref.com/en/players/9c94165b/Luke-Shaw
14,Jack Grealish,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
15,Bukayo Saka,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
19,Kieran Trippier,https://fbref.com/en/players/21512407/Kieran-Trippier
20,Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham
22,Jordan Henderson,https://fbref.com/en/players/935e6b8f/Jordan-Henderson
23,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
34,Eric Dier,https://fbref.com/en/players/ac861941/Eric-Dier
0,Hugo Lloris,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris
1,Antoine Griezmann,https://fbref.com/en/players/df69b544/Antoine-Griezmann
2,Adrien Rabiot,https://fbref.com/en/players/8794e251/Adrien-Rabiot
3,Kylian Mbappé,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe
7,Raphaël Varane,https://fbref.com/en/players/9f8e9423/Raphael-Varane
10,Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman
12,Lucas Hernández,https://fbref.com/en/players/c3ee18ef/Lucas-Hernandez
15,Jules Koundé,https://fbref.com/en/players/4d1666ff/Jules-Kounde
16,Aurélien Tchouaméni,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni
17,Benjamin Pavard,https://fbref.com/en/players/45a03961/Benjamin-Pavard
18,Theo Hernández,https://fbref.com/en/players/d4c9725f/Theo-Hernandez
19,Dayot Upamecano,https://fbref.com/en/players/d248cd8f/Dayot-Upamecano
21,Ousmane Dembélé,https://fbref.com/en/players/b19db005/Ousmane-Dembele
24,Olivier Giroud,https://fbref.com/en/players/16ceb862/Olivier-Giroud
26,Jordan Veretout,https://fbref.com/en/players/4a56052c/Jordan-Veretout
28,Mattéo Guendouzi,https://fbref.com/en/players/5ea8ef20/Matteo-Guendouzi
34,Steve Mandanda,https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda
0,Leroy Sané,https://fbref.com/en/players/2b114be3/Leroy-Sane
1,Joshua Kimmich,https://fbref.com/en/players/49296448/Joshua-Kimmich
2,Leon Goretzka,https://fbref.com/en/players/cc86b9a3/Leon-Goretzka
3,Antonio Rüdiger,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
4,Thilo Kehrer,https://fbref.com/en/players/51dbeea9/Thilo-Kehrer
